Código;Nome;Valor hora;Data;Entrada;Saída;Almoço Saída;Almoço Volta
1;Funcionario 1;75.74;09/04/2024;08:21:00;17:02:00;12:11:00;13:27:00
2;Funcionario 2;111.32;12/04/2024;08:18:00;18:00:00;12:11:00;13:02:00
3;Funcionario 3;62.76;08/04/2024;08:18:00;17:53:00;12:23:00;13:12:00
4;Funcionario 4;120.78;15/04/2024;08:08:00;17:35:00;12:22:00;13:10:00
5;Funcionario 5;53.32;08/04/2024;08:27:00;17:28:00;12:30:00;13:10:00
6;Funcionario 6;112.50;01/04/2024;08:26:00;17:44:00;12:11:00;13:24:00
7;Funcionario 7;99.70;05/04/2024;08:14:00;17:32:00;12:12:00;13:13:00
8;Funcionario 8;65.50;02/04/2024;08:24:00;17:12:00;12:12:00;13:01:00
9;Funcionario 9;139.61;12/04/2024;08:11:00;17:44:00;12:09:00;13:21:00
10;Funcionario 10;147.55;05/04/2024;08:17:00;17:58:00;12:21:00;13:08:00
11;Funcionario 11;140.80;05/04/2024;08:25:00;17:30:00;12:15:00;13:21:00
12;Funcionario 12;50.94;05/04/2024;08:23:00;17:51:00;12:30:00;13:24:00
13;Funcionario 13;129.89;11/04/2024;08:13:00;18:00:00;12:09:00;13:04:00
14;Funcionario 14;54.78;10/04/2024;08:17:00;17:35:00;12:02:00;13:08:00
15;Funcionario 15;63.79;01/04/2024;08:15:00;17:13:00;12:16:00;13:25:00
